SleepQuality,Steps,Alarm,TimeInBed,TimeAsleep,TimeBeforeSleep,SnoreTime
49.0,2907,1,20865.6,20239.6,139.1,1
76.0,4780,1,24339.4,21824.3,162.3,1
75.0,1566,0,30540.2,28198.8,203.6,1
86.0,1640,1,29042.0,26525.0,193.6,1
71.0,3252,1,24652.3,22104.9,164.3,1
79.0,3889,1,24398.5,21633.4,162.7,1
79.0,3041,1,26140.5,23439.3,174.3,1
85.0,4855,1,29501.2,27829.4,196.7,1
75.0,1596,1,24485.0,19996.1,163.2,1
78.0,3082,1,27169.0,24814.3,181.1,1
81.0,3922,1,29931.2,24543.6,199.5,1
79.0,4331,1,28509.4,23377.7,190.1,1
93.0,8035,1,39165.2,36032.0,261.1,1
86.0,3569,1,28758.3,27416.3,191.7,1
84.0,4106,0,27613.1,26048.4,184.1,1
83.0,7780,0,35710.7,31306.4,238.1,1
72.0,4220,1,26128.0,22644.3,174.2,1
84.0,4581,1,28460.3,25614.3,189.7,1
85.0,3228,1,27330.1,26328.0,182.2,1
100.0,3183,0,35568.5,31656.0,237.1,1
80.0,933,0,29650.6,25894.8,197.7,1
73.0,683,1,28187.5,25744.5,187.9,1
61.0,3282,1,25250.4,25082.0,168.3,1
78.0,3030,1,25011.7,22427.1,166.7,1
99.0,4179,0,31888.2,30931.5,212.6,1
68.0,2174,1,24019.5,20576.7,160.1,1
88.0,3837,1,28285.3,25551.0,188.6,1
79.0,4509,1,25789.2,23038.4,171.9,1
94.0,4439,0,29282.1,25475.4,195.2,1
93.0,2018,0,32176.9,26385.1,214.5,1
64.0,2039,0,23058.6,17832.0,153.7,1
75.0,1112,1,23783.0,22673.1,158.6,1
77.0,5757,1,25132.7,24965.2,167.6,1
77.0,5801,1,22492.1,20167.9,149.9,1
86.0,4669,0,27856.1,26091.9,185.7,1
87.0,656,0,29543.0,27179.6,197.0,1
83.0,3804,1,29421.6,25400.6,196.1,1
91.0,4768,1,28866.1,26941.7,192.4,1
73.0,4991,1,23731.7,23573.5,158.2,1
96.0,3026,1,32657.6,32439.9,217.7,1
67.0,76,0,24840.3,22770.3,165.6,0
85.0,2515,0,32404.8,27004.0,216.0,1
66.0,3049,0,26757.3,24349.1,178.4,1
57.0,2629,0,19911.7,16327.6,132.7,1
75.0,1717,1,28783.6,27920.1,191.9,1
72.0,3671,0,33032.9,28738.7,220.2,1
61.0,3314,1,25139.0,20278.8,167.6,1
76.0,3149,1,27587.2,23541.1,183.9,1
62.0,4066,1,24487.2,21140.6,163.2,1
68.0,4113,0,24784.1,20488.2,165.2,1
50.0,4345,0,19528.3,16729.3,130.2,1
78.0,4906,1,30871.1,29739.2,205.8,1
77.0,3361,1,31766.4,29860.4,211.8,1
71.0,4109,1,25188.8,21830.3,167.9,1
81.0,2726,1,31679.1,31467.9,211.2,1
60.0,2030,1,28215.0,28026.9,188.1,1
72.0,4062,1,28047.7,26645.4,187.0,1
94.0,5280,1,36770.2,32602.9,245.1,1
83.0,3310,1,28397.2,25746.8,189.3,1
60.0,3992,1,25309.6,23369.2,168.7,1
68.0,3222,0,25488.9,20985.9,169.9,1
67.0,527,1,25192.4,22421.2,167.9,1
81.0,5598,1,26502.6,23940.7,176.7,1
85.0,3826,1,27211.1,25034.2,181.4,1
81.0,4140,1,25068.7,23063.2,167.1,1
100.0,3552,1,32852.2,32633.2,219.0,1
96.0,3262,1,29603.7,27531.4,197.4,1
82.0,3493,1,28243.9,26455.1,188.3,1
77.0,5850,1,26406.7,26230.7,176.0,1
81.0,3799,1,24167.4,24006.3,161.1,1
80.0,3628,1,28012.5,24184.1,186.7,1
93.0,2465,1,28704.3,23920.2,191.4,1
100.0,2811,1,30862.8,28496.6,205.8,1
99.0,3478,1,30606.2,27341.6,204.0,1
78.0,3327,1,28658.3,24264.0,191.1,1
100.0,3540,1,32335.8,29641.1,215.6,1
87.0,10459,1,26337.9,20455.7,175.6,1
79.0,4877,1,28480.7,24208.6,189.9,1
98.0,3580,1,32579.8,28887.4,217.2,1
84.0,4236,1,28291.9,25368.4,188.6,1
51.0,9957,1,30393.0,30190.4,202.6,1
73.0,16188,0,27874.7,25644.7,185.8,1
98.0,5032,1,31241.6,29263.0,208.3,1
61.0,3464,1,30701.6,26096.3,204.7,1
48.0,4147,1,14179.7,12998.0,94.5,1
100.0,3815,0,31784.6,28500.2,211.9,1
99.0,3528,1,30025.9,28124.2,200.2,1
75.0,4292,1,25658.9,20698.2,171.1,1
29.0,3772,1,10451.1,8465.4,69.7,1
62.0,3185,1,21708.5,19610.0,144.7,1
93.0,6995,1,29125.2,28931.1,194.2,1
18.0,5715,1,6664.2,6530.9,133.3,1
78.0,4924,0,27449.0,23972.2,183.0,1
79.0,3532,1,26680.3,23745.5,177.9,1
67.0,2259,0,23502.1,21073.5,156.7,1
72.0,6388,1,25270.2,25101.8,168.5,1
78.0,13129,1,24788.2,20574.2,165.3,1
71.0,11551,1,22741.7,18117.6,151.6,1
58.0,5163,0,30445.9,28416.2,203.0,1
58.0,3794,0,28452.9,25702.5,189.7,1
83.0,4104,0,27369.7,22169.5,182.5,1
83.0,6531,1,28124.1,23436.8,187.5,1
54.0,1308,1,24933.1,22273.5,166.2,1
81.0,14979,1,24644.9,22344.7,164.3,1
84.0,996,1,27383.4,23458.4,182.6,1
73.0,10694,0,22263.0,20927.2,148.4,1
83.0,4035,1,25209.2,25041.2,168.1,1
83.0,6079,1,24167.8,24006.6,161.1,1
64.0,1955,1,27198.8,27017.5,181.3,1
64.0,16083,1,19032.0,18524.5,126.9,1
84.0,3855,1,27265.4,21721.5,181.8,1
91.0,12708,1,30643.7,25945.0,204.3,1
89.0,13421,1,30440.4,27294.9,202.9,1
88.0,9170,1,26832.8,25848.9,178.9,1
52.0,1950,0,19595.1,15480.1,130.6,1
73.0,14389,0,25549.8,20439.8,170.3,1
100.0,8867,1,37573.2,34817.8,250.5,1
90.0,9092,1,27848.4,27662.7,185.7,1
39.0,17381,1,12312.9,8619.0,82.1,1
57.0,10134,1,18562.4,15901.8,123.7,1
100.0,2996,0,37658.3,34896.7,251.1,1
74.0,1400,1,21567.3,21423.5,143.8,1
87.0,12379,1,27503.5,24936.5,183.4,1
66.0,5794,1,21890.2,18825.6,145.9,1
55.0,4792,0,26244.0,24144.5,175.0,1
94.0,8087,1,28834.3,27200.3,192.2,1
58.0,4270,1,17845.7,16715.4,119.0,1
66.0,10427,1,26618.3,25908.4,177.5,1
54.0,12494,1,24522.6,21498.1,163.5,1
70.0,4706,1,27582.1,25559.5,183.9,1
43.0,2087,1,16714.5,16213.0,111.4,1
38.0,3451,1,17783.8,15471.9,118.6,1
79.0,6173,1,27509.8,26684.5,183.4,1
55.0,8282,1,19455.0,17509.5,129.7,1
89.0,7030,0,30686.2,27924.4,204.6,1
42.0,0,1,15093.9,12678.9,100.6,1
36.0,0,1,12261.6,12016.4,245.2,1
48.0,10792,1,20050.2,18312.6,133.7,1
95.0,7603,1,30199.6,28085.6,201.3,1
100.0,8212,0,31149.1,28864.8,207.7,1
88.0,5502,1,28307.7,21985.7,188.7,1
65.0,9944,1,21832.7,17757.2,145.6,1
60.0,7904,1,26329.8,22731.4,175.5,1
59.0,8525,1,17742.9,15850.3,118.3,1
88.0,9057,1,27228.0,27046.5,181.5,1
61.0,2602,1,19825.8,16058.9,132.2,1
97.0,7131,1,28981.6,28788.4,193.2,1
88.0,10871,0,28448.3,25887.9,189.7,1
60.0,5079,0,21235.4,17837.8,141.6,1
98.0,2413,1,29716.9,29518.8,198.1,1
